"Process:"	"Lab-08a.exe"
"PID:"	"2168"

"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Largest"	
"Total"	"4 245 412"	"11 600"	"568"	"4 580"	"464"	"4 116"	"4 116"	""	"78"	""
"Free"	"137 434 708 160"	""	""	""	""	""	""	""	"11"	"135 488 239 936"
"Heap"	"1 480"	"168"	"104"	"108"	"104"	"4"	"4"	""	"5"	"1 024"
"Image"	"9 848"	"9 824"	"240"	"3 980"	"160"	"3 820"	"3 820"	""	"42"	"4 040"
"Managed Heap"	""	""	""	""	""	""	""	""	""	""
"Mapped File"	"1 140"	"1 140"	""	"80"	""	"80"	"80"	""	"7"	"844"
"Page Table"	"164"	"164"	"164"	"164"	"164"	""	""	""	""	""
"Private Data"	"4 229 268"	"32"	"32"	"28"	"20"	"8"	"8"	""	"9"	"4 194 432"
"Shareable"	"1 252"	"244"	""	"204"	""	"204"	"204"	""	"12"	"1 024"
"Stack"	"1 024"	"28"	"28"	"16"	"16"	""	""	""	"3"	"1 024"
"Unusable"	"1 236"	""	""	""	""	""	""	""	""	"60"

"Address"	"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Protection"	"Details"	
"000000007FFE0000"	"Private Data"	"4"	"4"	"4"	"4"	""	"4"	"4"	""	"1"	"Read"	""
"  000000007FFE0000"	"Private Data"	"4"	"4"	"4"	"4"	""	"4"	"4"	""	""	"Read"	"Thread Environment Block"
"000000007FFE8000"	"Private Data"	"4"	"4"	"4"	"4"	""	"4"	"4"	""	"1"	"Read"	""
"  000000007FFE8000"	"Private Data"	"4"	"4"	"4"	"4"	""	"4"	"4"	""	""	"Read"	"Thread Environment Block"
"00000031FF800000"	"Private Data"	"2 048"	"12"	"12"	"12"	"12"	""	""	""	"3"	"Read/Write"	"Thread Environment Block"
"  00000031FF800000"	"Private Data"	"712"	""	""	""	""	""	""	""	""	"Reserved"	"Thread Environment Block"
"  00000031FF8B2000"	"Private Data"	"12"	"12"	"12"	"12"	"12"	""	""	""	""	"Read/Write"	"Thread Environment Block ID: 29972"
"  00000031FF8B5000"	"Private Data"	"1 324"	""	""	""	""	""	""	""	""	"Reserved"	"Thread Environment Block"
"00000031FFA00000"	"Thread Stack"	"1 024"	"28"	"28"	"16"	"16"	""	""	""	"3"	"Read/Write/Guard"	"Thread ID: 29972"
"  00000031FFA00000"	"Thread Stack"	"996"	""	""	""	""	""	""	""	""	"Reserved"	""
"  00000031FFAF9000"	"Thread Stack"	"12"	"12"	"12"	""	""	""	""	""	""	"Read/Write/Guard"	""
"  00000031FFAFC000"	"Thread Stack"	"16"	"16"	"16"	"16"	"16"	""	""	""	""	"Read/Write"	""
"000001C563E60000"	"Shareable"	"8"	"4"	""	"4"	""	"4"	"4"	""	"2"	"Read/Write"	""
"  000001C563E60000"	"Shareable"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read/Write"	""
"  000001C563E61000"	"Shareable"	"4"	""	""	""	""	""	""	""	""	"Reserved"	""
"000001C563E70000"	"Heap (Shareable)"	"64"	"64"	""	"4"	""	"4"	"4"	""	"1"	"Read/Write"	"Heap ID: 2 [COMPATABILITY]"
"  000001C563E70000"	"Heap (Shareable)"	"64"	"64"	""	"4"	""	"4"	"4"	""	""	"Read/Write"	"Heap ID: 0 (Default) [COMPATABILITY]"
"000001C563E80000"	"Shareable"	"128"	"128"	""	"120"	""	"120"	"120"	""	"1"	"Read"	""
"  000001C563E80000"	"Shareable"	"128"	"128"	""	"120"	""	"120"	"120"	""	""	"Read"	""
"000001C563EA0000"	"Shareable"	"16"	"16"	""	"8"	""	"8"	"8"	""	"1"	"Read"	""
"  000001C563EA0000"	"Shareable"	"16"	"16"	""	"8"	""	"8"	"8"	""	""	"Read"	""
"000001C563EB0000"	"Shareable"	"4"	"4"	""	"4"	""	"4"	"4"	""	"1"	"Read"	""
"  000001C563EB0000"	"Shareable"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	""
"000001C563EC0000"	"Private Data"	"8"	"8"	"8"	"8"	"8"	""	""	""	"1"	"Read/Write"	""
"  000001C563EC0000"	"Private Data"	"8"	"8"	"8"	"8"	"8"	""	""	""	""	"Read/Write"	"Thread Environment Block"
"000001C563ED0000"	"Mapped File"	"68"	"68"	""	"4"	""	"4"	"4"	""	"1"	"Read"	"C:\Windows\System32\C_1251.NLS"
"  000001C563ED0000"	"Mapped File"	"68"	"68"	""	"4"	""	"4"	"4"	""	""	"Read"	""
"000001C563EF0000"	"Mapped File"	"68"	"68"	""	"4"	""	"4"	"4"	""	"1"	"Read"	"C:\Windows\System32\C_866.NLS"
"  000001C563EF0000"	"Mapped File"	"68"	"68"	""	"4"	""	"4"	"4"	""	""	"Read"	""
